_id,age,sex,region,income,married,children,car,save_act,current_act,mortgage,pep
ID13500,75,FEMALE,RURAL,91021.91,YES,1,YES,NO,YES,,NO
ID13501,70,MALE,SUBURBAN,18820.27,NO,3,YES,YES,YES,,YES
ID13502,46,MALE,TOWN,43182.66,NO,3,YES,NO,NO,NO,NO
ID13503,53,MALE,RURAL,48769.59,YES,0,YES,YES,NO,,NO
ID13504,53,MALE,INNER_CITY,,NO,0,YES,NO,NO,YES,YES
ID13505,21,MALE,SUBURBAN,61766.63,,0,YES,NO,NO,NO,NO
ID13506,47,FEMALE,SUBURBAN,48918.84,,3,NO,YES,NO,NO,NO
ID13507,45,MALE,SUBURBAN,15172.62,,3,YES,NO,YES,NO,YES
ID13508,20,FEMALE,RURAL,52106.8,,1,NO,YES,NO,NO,NO
ID13509,45,MALE,SUBURBAN,87266.47,,,NO,YES,NO,,NO
ID13510,70,FEMALE,TOWN,67815.17,,2,NO,NO,YES,NO,YES
ID13511,54,MALE,RURAL,16936.63,NO,3,YES,YES,NO,YES,NO
ID13512,29,MALE,TOWN,,,0,NO,NO,NO,NO,YES
ID13513,23,MALE,INNER_CITY,82188.99,YES,3,YES,NO,NO,NO,NO
ID13514,56,FEMALE,INNER_CITY,97428.49,,4,NO,NO,NO,YES,YES
ID13515,58,FEMALE,SUBURBAN,35184.9,,4,NO,NO,YES,,NO
ID13516,43,MALE,TOWN,17534.39,YES,3,NO,YES,YES,,YES
ID13517,67,MALE,INNER_CITY,25787.17,,5,NO,NO,YES,,YES
ID13518,20,FEMALE,TOWN,34066.89,,4,NO,YES,NO,YES,NO
ID13519,66,FEMALE,RURAL,72261.83,NO,5,YES,YES,NO,,YES
ID13520,67,MALE,RURAL,35283.52,NO,2,YES,NO,YES,,NO
ID13521,57,MALE,RURAL,75324.39,NO,3,YES,YES,NO,YES,YES
ID13522,19,MALE,RURAL,,,,YES,NO,NO,YES,YES
ID13523,24,FEMALE,TOWN,77288.48,YES,,YES,NO,YES,YES,NO
ID13524,25,FEMALE,INNER_CITY,97432.54,YES,1,NO,YES,YES,NO,NO
ID13525,58,MALE,SUBURBAN,20483.42,YES,,YES,NO,YES,,YES
ID13526,23,MALE,INNER_CITY,,,0,NO,YES,NO,,NO
ID13527,75,MALE,RURAL,78093.99,NO,,YES,YES,NO,YES,YES
ID13528,46,MALE,SUBURBAN,38296.2,,1,YES,NO,NO,YES,NO
ID13529,18,MALE,RURAL,49756.67,NO,3,YES,YES,YES,,YES
ID13530,60,FEMALE,RURAL,69393.82,YES,5,NO,NO,NO,NO,YES
ID13531,38,MALE,INNER_CITY,86830.31,NO,2,NO,YES,NO,YES,YES
ID13532,20,MALE,INNER_CITY,98049.92,YES,1,NO,YES,YES,YES,YES
ID13533,44,MALE,INNER_CITY,,,5,YES,NO,NO,,YES
ID13534,49,FEMALE,TOWN,50946.67,YES,5,NO,YES,NO,NO,NO
ID13535,26,FEMALE,RURAL,32683.79,,4,NO,NO,YES,,NO
ID13536,56,FEMALE,RURAL,64449.17,,3,NO,YES,NO,NO,YES
ID13537,20,FEMALE,TOWN,6818.64,YES,5,NO,YES,YES,,YES
ID13538,24,MALE,INNER_CITY,73919.33,NO,,YES,YES,NO,NO,NO
ID13539,52,MALE,TOWN,,,3,YES,NO,YES,,NO
ID13540,19,FEMALE,TOWN,27196.03,YES,,NO,NO,YES,NO,NO
ID13541,37,MALE,INNER_CITY,19074.46,NO,4,NO,NO,YES,NO,NO
ID13542,59,FEMALE,SUBURBAN,29436.83,YES,4,NO,YES,YES,NO,NO
ID13543,19,MALE,INNER_CITY,87243.32,YES,,YES,NO,YES,YES,NO
ID13544,53,MALE,RURAL,16325.46,YES,2,NO,YES,YES,NO,YES
ID13545,23,FEMALE,SUBURBAN,,,,NO,NO,NO,,YES
ID13546,41,FEMALE,RURAL,76214.95,NO,0,YES,YES,NO,NO,NO
ID13547,35,MALE,TOWN,37321.7,NO,0,NO,YES,YES,YES,NO
ID13548,41,MALE,RURAL,14776.45,NO,4,YES,NO,YES,NO,YES
ID13549,62,FEMALE,TOWN,84937.96,,4,YES,YES,YES,,NO
ID13550,54,FEMALE,TOWN,22546.67,NO,,NO,NO,NO,YES,NO
ID13551,54,FEMALE,SUBURBAN,56108.34,YES,,YES,YES,YES,NO,YES
ID13552,23,MALE,RURAL,73458.68,,2,NO,NO,NO,NO,NO
ID13553,53,FEMALE,TOWN,16488.67,YES,0,NO,NO,YES,YES,NO
ID13554,43,FEMALE,RURAL,79397.77,,4,NO,NO,NO,,YES
ID13555,41,MALE,TOWN,17089.12,,5,YES,NO,NO,NO,NO
ID13556,23,MALE,INNER_CITY,83393.65,YES,1,NO,YES,YES,,YES
ID13557,57,MALE,INNER_CITY,46819.67,,2,NO,YES,YES,YES,YES
ID13558,54,FEMALE,INNER_CITY,60789.5,NO,5,NO,YES,NO,YES,NO
ID13559,24,FEMALE,INNER_CITY,,YES,2,NO,NO,YES,NO,NO
ID13560,44,FEMALE,SUBURBAN,,YES,4,NO,NO,NO,,YES
ID13561,55,MALE,SUBURBAN,58743.61,,,NO,YES,YES,NO,YES
ID13562,54,MALE,INNER_CITY,29121.19,YES,1,NO,NO,NO,NO,NO
ID13563,59,MALE,INNER_CITY,21131.54,YES,5,NO,NO,NO,NO,YES
ID13564,54,FEMALE,INNER_CITY,,,1,YES,YES,NO,NO,NO
