_id,age,sex,region,income,married,children,car,save_act,current_act,mortgage,pep
ID13500,73,FEMALE,TOWN,11732.48,NO,,YES,YES,YES,YES,YES
ID13501,48,FEMALE,RURAL,,YES,0,YES,YES,NO,NO,YES
ID13502,63,MALE,SUBURBAN,35267.5,,,NO,YES,YES,,NO
ID13503,74,FEMALE,INNER_CITY,,,2,YES,YES,NO,NO,NO
ID13504,36,FEMALE,SUBURBAN,81768.7,NO,3,NO,NO,YES,,NO
ID13505,55,FEMALE,SUBURBAN,34106.94,,0,YES,YES,YES,,YES
ID13506,74,MALE,INNER_CITY,,,,YES,NO,NO,,YES
ID13507,30,FEMALE,INNER_CITY,63016.09,YES,3,NO,NO,NO,,NO
ID13508,55,MALE,TOWN,40192.47,,4,YES,NO,YES,NO,YES
ID13509,75,MALE,TOWN,61047.92,YES,2,YES,NO,YES,,NO
ID13510,72,MALE,RURAL,77466.61,,,NO,NO,NO,YES,NO
ID13511,31,MALE,INNER_CITY,,YES,3,YES,NO,NO,NO,YES
ID13512,42,MALE,TOWN,83878.79,YES,0,YES,YES,YES,NO,NO
ID13513,45,MALE,INNER_CITY,23045.04,YES,4,YES,YES,NO,NO,YES
ID13514,70,FEMALE,SUBURBAN,28973.05,NO,,YES,YES,NO,YES,NO
ID13515,43,MALE,SUBURBAN,20109.68,,5,NO,NO,YES,NO,YES
ID13516,56,MALE,RURAL,,NO,2,YES,NO,YES,NO,NO
ID13517,56,MALE,SUBURBAN,72658.8,YES,3,YES,NO,YES,YES,NO
ID13518,71,MALE,SUBURBAN,99184.1,NO,,YES,NO,NO,NO,YES
ID13519,47,FEMALE,TOWN,,YES,1,NO,YES,YES,YES,NO
ID13520,21,MALE,TOWN,31079.9,,2,NO,NO,YES,YES,YES
ID13521,21,FEMALE,RURAL,92774.54,,2,YES,NO,YES,,NO
ID13522,47,FEMALE,SUBURBAN,14012.02,YES,1,NO,YES,YES,YES,NO
ID13523,58,FEMALE,TOWN,70415.52,YES,3,NO,NO,YES,YES,NO
ID13524,55,MALE,TOWN,84890.01,,5,YES,NO,NO,NO,NO
ID13525,51,FEMALE,RURAL,79185.89,YES,3,NO,NO,NO,NO,YES
ID13526,51,FEMALE,INNER_CITY,56440.05,YES,,NO,YES,NO,,YES
ID13527,73,FEMALE,RURAL,50505.1,NO,1,YES,YES,YES,YES,NO
ID13528,23,FEMALE,INNER_CITY,8775.73,,3,YES,NO,NO,YES,NO
ID13529,30,MALE,TOWN,87439.42,YES,,NO,YES,YES,YES,NO
ID13530,39,MALE,TOWN,32430.66,,4,NO,YES,NO,,NO
ID13531,56,MALE,SUBURBAN,47789.05,,4,YES,YES,YES,YES,NO
ID13532,24,FEMALE,RURAL,56746.56,YES,,NO,NO,NO,,NO
ID13533,27,FEMALE,INNER_CITY,45450.5,YES,4,YES,NO,NO,YES,YES
ID13534,74,FEMALE,TOWN,,YES,1,YES,YES,YES,,YES
ID13535,57,FEMALE,RURAL,53355.43,,,YES,YES,NO,,NO
ID13536,47,FEMALE,TOWN,76337.06,NO,5,NO,NO,NO,,YES
ID13537,40,MALE,RURAL,63457.0,,5,NO,NO,NO,NO,NO
ID13538,44,FEMALE,TOWN,,NO,3,NO,NO,NO,YES,NO
ID13539,51,FEMALE,SUBURBAN,,NO,1,NO,YES,NO,YES,NO
ID13540,69,MALE,RURAL,14543.5,,5,YES,YES,YES,NO,YES
ID13541,25,FEMALE,INNER_CITY,,YES,3,NO,NO,YES,NO,YES
ID13542,42,MALE,TOWN,84476.39,YES,,NO,NO,YES,NO,YES
ID13543,19,MALE,TOWN,77414.17,,1,NO,NO,NO,YES,NO
ID13544,21,FEMALE,RURAL,43793.63,NO,,YES,YES,NO,NO,NO
ID13545,45,MALE,SUBURBAN,16724.87,,0,YES,YES,NO,,NO
ID13546,67,MALE,INNER_CITY,48762.94,,,NO,NO,YES,YES,YES
ID13547,33,MALE,TOWN,24680.91,YES,0,NO,NO,YES,NO,NO
ID13548,24,FEMALE,RURAL,72659.1,,0,YES,YES,NO,,YES
ID13549,72,MALE,INNER_CITY,75793.25,NO,,NO,NO,YES,NO,NO
ID13550,26,MALE,INNER_CITY,65280.64,YES,4,YES,NO,YES,NO,NO
ID13551,70,FEMALE,RURAL,67584.02,YES,4,NO,YES,YES,YES,YES
ID13552,71,MALE,RURAL,99917.97,YES,,NO,NO,NO,YES,NO
ID13553,45,FEMALE,INNER_CITY,59564.3,YES,,YES,NO,YES,,YES
ID13554,48,FEMALE,INNER_CITY,22663.06,NO,,YES,YES,NO,YES,YES
ID13555,59,MALE,RURAL,76864.98,,,NO,YES,NO,YES,YES
ID13556,71,FEMALE,SUBURBAN,93332.39,NO,0,NO,NO,NO,YES,NO
ID13557,70,MALE,TOWN,86204.15,NO,4,YES,NO,YES,NO,YES
ID13558,52,MALE,INNER_CITY,,,5,YES,NO,NO,NO,NO
ID13559,25,MALE,INNER_CITY,5284.4,,3,NO,NO,YES,YES,NO
ID13560,44,MALE,TOWN,,,2,YES,YES,YES,,YES
ID13561,39,FEMALE,RURAL,,,5,NO,YES,NO,NO,NO
ID13562,57,MALE,INNER_CITY,21029.98,,,NO,YES,YES,YES,YES
ID13563,57,MALE,RURAL,69082.89,YES,0,YES,YES,NO,,NO
ID13564,75,MALE,RURAL,92036.07,,4,YES,YES,NO,YES,NO
ID13565,66,MALE,TOWN,19356.33,,,NO,NO,YES,,YES
ID13566,26,MALE,TOWN,,YES,,YES,YES,YES,YES,NO
ID13567,33,MALE,SUBURBAN,,NO,1,YES,NO,YES,,YES
ID13568,69,MALE,RURAL,36266.07,YES,,NO,YES,YES,NO,NO
ID13569,61,MALE,INNER_CITY,71930.32,,0,YES,YES,YES,YES,YES
