_id,age,sex,region,income,married,children,car,save_act,current_act,mortgage,pep
ID13000,27,MALE,INNER_CITY,75916.73,,4,YES,NO,NO,NO,NO
ID13001,58,FEMALE,SUBURBAN,87234.0,YES,0,NO,YES,NO,NO,YES
ID13002,55,FEMALE,RURAL,58860.36,,0,NO,YES,YES,,YES
ID13003,58,MALE,SUBURBAN,93406.02,YES,4,YES,YES,NO,,NO
ID13004,31,MALE,INNER_CITY,47492.23,YES,4,YES,YES,YES,YES,NO
ID13005,51,MALE,INNER_CITY,29039.75,NO,3,NO,YES,NO,NO,YES
ID13006,49,MALE,RURAL,93416.53,NO,0,NO,YES,YES,YES,NO
ID13007,58,FEMALE,RURAL,65599.37,YES,2,YES,YES,YES,,NO
ID13008,71,MALE,INNER_CITY,,,2,NO,NO,NO,NO,NO
ID13009,35,MALE,INNER_CITY,,NO,0,NO,NO,YES,,NO
ID13010,56,MALE,INNER_CITY,97678.67,,0,NO,NO,YES,NO,NO
ID13011,35,FEMALE,RURAL,59117.7,NO,3,NO,NO,YES,YES,YES
ID13012,32,MALE,RURAL,,,5,YES,YES,YES,NO,NO
ID13013,56,MALE,RURAL,90662.02,,,YES,YES,YES,YES,YES
ID13014,56,FEMALE,INNER_CITY,10371.97,YES,2,YES,YES,NO,YES,YES
ID13015,28,MALE,RURAL,86298.37,YES,4,NO,NO,YES,NO,YES
ID13016,24,FEMALE,RURAL,83495.12,,5,NO,YES,NO,NO,NO
ID13017,51,FEMALE,TOWN,64157.86,NO,2,NO,NO,NO,YES,NO
ID13018,66,MALE,SUBURBAN,33105.22,NO,0,YES,YES,YES,NO,NO
ID13019,53,MALE,INNER_CITY,65680.31,YES,0,NO,YES,YES,NO,YES
ID13020,71,MALE,TOWN,13028.72,NO,,NO,NO,NO,,YES
ID13021,49,FEMALE,RURAL,17078.9,YES,4,NO,YES,NO,YES,YES
ID13022,52,FEMALE,RURAL,70847.93,YES,,YES,NO,YES,YES,YES
ID13023,31,MALE,SUBURBAN,55663.4,NO,1,NO,YES,NO,YES,NO
ID13024,75,MALE,TOWN,,YES,,YES,YES,NO,,YES
ID13025,73,MALE,RURAL,49912.87,,3,NO,NO,YES,YES,YES
ID13026,37,MALE,SUBURBAN,66926.76,,5,NO,YES,YES,,YES
ID13027,75,MALE,SUBURBAN,78045.6,YES,,YES,YES,NO,YES,NO
ID13028,43,MALE,TOWN,50800.28,,3,NO,NO,YES,NO,YES
ID13029,19,MALE,TOWN,54671.17,,2,YES,NO,NO,NO,NO
ID13030,42,MALE,INNER_CITY,34917.4,NO,0,YES,YES,YES,NO,YES
