_id,age,sex,region,income,married,children,car,save_act,current_act,mortgage,pep
ID13500,30,FEMALE,RURAL,76635.12,,1,YES,YES,NO,,YES
ID13501,54,MALE,RURAL,87363.18,,,YES,YES,NO,NO,YES
ID13502,55,MALE,INNER_CITY,50049.64,NO,3,NO,YES,NO,NO,NO
ID13503,29,FEMALE,RURAL,50400.45,YES,,NO,YES,NO,YES,NO
ID13504,32,FEMALE,INNER_CITY,86619.27,NO,2,YES,YES,YES,YES,YES
ID13505,49,MALE,INNER_CITY,85391.86,NO,1,NO,NO,YES,,NO
ID13506,19,MALE,TOWN,17939.37,NO,5,NO,YES,YES,NO,YES
ID13507,45,FEMALE,RURAL,8701.86,,4,NO,YES,YES,NO,NO
ID13508,50,FEMALE,SUBURBAN,43796.33,NO,2,NO,YES,YES,NO,YES
ID13509,54,MALE,RURAL,83952.01,YES,4,YES,NO,NO,,YES
ID13510,55,FEMALE,INNER_CITY,,NO,3,NO,YES,NO,,NO
ID13511,26,FEMALE,RURAL,19614.44,,,YES,NO,NO,,NO
ID13512,52,MALE,SUBURBAN,53516.16,YES,1,YES,NO,NO,NO,NO
ID13513,24,FEMALE,SUBURBAN,57004.64,NO,2,YES,YES,YES,NO,NO
ID13514,63,MALE,TOWN,56518.31,NO,1,NO,YES,YES,,YES
ID13515,33,MALE,RURAL,23227.08,,1,NO,NO,NO,YES,NO
ID13516,64,FEMALE,TOWN,32130.67,,0,NO,YES,YES,,NO
ID13517,35,MALE,SUBURBAN,34133.98,YES,4,YES,NO,YES,YES,YES
ID13518,43,FEMALE,INNER_CITY,65453.87,YES,,YES,NO,YES,NO,YES
ID13519,21,MALE,RURAL,34746.69,NO,3,NO,NO,NO,NO,YES
ID13520,38,MALE,SUBURBAN,6798.25,YES,3,NO,YES,NO,,NO
ID13521,55,MALE,SUBURBAN,75689.12,YES,,NO,YES,YES,,NO
ID13522,59,MALE,SUBURBAN,84514.47,NO,,NO,NO,YES,NO,NO
ID13523,70,MALE,INNER_CITY,,YES,,NO,NO,YES,,NO
ID13524,24,MALE,SUBURBAN,64287.01,,4,NO,NO,YES,,NO
ID13525,61,MALE,TOWN,64242.86,NO,3,NO,YES,NO,NO,YES
ID13526,41,MALE,INNER_CITY,25511.04,,0,YES,YES,NO,NO,NO
ID13527,58,MALE,RURAL,46712.88,,5,NO,NO,NO,,NO
ID13528,36,MALE,RURAL,93740.72,NO,,NO,NO,YES,,NO
ID13529,50,FEMALE,TOWN,42364.67,NO,,YES,NO,NO,,NO
ID13530,58,MALE,SUBURBAN,42951.87,,4,NO,NO,NO,YES,YES
ID13531,24,MALE,INNER_CITY,,YES,4,YES,YES,NO,NO,NO
ID13532,55,MALE,TOWN,62748.06,YES,,NO,NO,NO,YES,YES
ID13533,69,FEMALE,INNER_CITY,,,5,NO,NO,NO,NO,NO
ID13534,53,MALE,RURAL,71265.48,YES,,YES,NO,YES,YES,NO
ID13535,67,FEMALE,RURAL,49343.68,NO,1,YES,YES,YES,NO,NO
ID13536,37,FEMALE,SUBURBAN,,YES,,NO,NO,NO,,YES
ID13537,51,FEMALE,SUBURBAN,98329.23,YES,2,YES,NO,NO,NO,YES
ID13538,71,MALE,RURAL,29255.86,NO,,NO,NO,YES,NO,YES
ID13539,52,FEMALE,RURAL,,YES,1,NO,YES,NO,,NO
ID13540,33,MALE,TOWN,22412.47,YES,,NO,YES,YES,YES,NO
ID13541,47,MALE,TOWN,41202.86,YES,,NO,YES,NO,NO,YES
ID13542,61,FEMALE,SUBURBAN,,,3,NO,NO,NO,,NO
ID13543,44,FEMALE,SUBURBAN,80914.51,YES,1,NO,YES,NO,,NO
ID13544,43,MALE,RURAL,7340.31,,,YES,NO,NO,,NO
ID13545,62,FEMALE,RURAL,70580.93,YES,,NO,YES,YES,,YES
ID13546,25,MALE,RURAL,56195.06,NO,1,YES,YES,NO,,YES
ID13547,59,FEMALE,INNER_CITY,73266.98,,3,YES,YES,YES,YES,NO
ID13548,45,FEMALE,RURAL,28635.69,NO,,NO,NO,NO,,YES
ID13549,73,FEMALE,TOWN,84908.66,,2,YES,YES,YES,NO,NO
ID13550,21,FEMALE,SUBURBAN,80645.06,,0,YES,NO,NO,,NO
ID13551,68,MALE,RURAL,7579.13,,1,NO,NO,NO,NO,NO
ID13552,47,MALE,SUBURBAN,19433.57,NO,1,YES,YES,YES,,YES
ID13553,33,MALE,TOWN,84800.17,YES,4,YES,YES,NO,,NO
ID13554,47,FEMALE,TOWN,,,1,NO,YES,YES,YES,YES
ID13555,50,MALE,RURAL,,,,NO,NO,YES,,YES
ID13556,47,MALE,SUBURBAN,90479.62,YES,,NO,NO,NO,YES,YES
ID13557,53,MALE,INNER_CITY,44624.64,NO,3,YES,NO,YES,NO,NO
ID13558,47,MALE,INNER_CITY,10871.02,NO,5,NO,YES,YES,YES,YES
ID13559,35,FEMALE,RURAL,18231.46,,2,YES,NO,NO,NO,YES
ID13560,24,FEMALE,RURAL,98960.85,,2,YES,NO,YES,NO,NO
ID13561,31,MALE,TOWN,99404.96,,4,YES,YES,YES,NO,YES
ID13562,45,MALE,INNER_CITY,52698.36,NO,,NO,NO,YES,NO,NO
ID13563,38,MALE,TOWN,27842.03,YES,,NO,NO,NO,,NO
ID13564,74,FEMALE,RURAL,19191.11,YES,3,NO,YES,YES,,NO
ID13565,65,MALE,TOWN,53810.53,NO,1,NO,NO,YES,NO,NO
ID13566,27,MALE,SUBURBAN,22417.95,NO,1,NO,NO,NO,YES,YES
ID13567,63,MALE,RURAL,67470.95,YES,0,YES,YES,NO,NO,NO
ID13568,74,MALE,INNER_CITY,62946.12,NO,,NO,NO,YES,,YES
ID13569,31,FEMALE,RURAL,31006.74,YES,2,NO,YES,YES,YES,NO
ID13570,50,MALE,INNER_CITY,62345.29,,,NO,YES,NO,NO,NO
ID13571,38,FEMALE,INNER_CITY,,YES,0,NO,NO,YES,,NO
ID13572,75,FEMALE,RURAL,73667.11,,1,YES,YES,YES,,NO
ID13573,54,MALE,TOWN,50363.92,NO,3,YES,YES,NO,YES,NO
ID13574,41,FEMALE,TOWN,16587.11,,5,YES,NO,YES,YES,YES
ID13575,28,FEMALE,RURAL,,YES,,NO,YES,YES,YES,NO
ID13576,28,FEMALE,RURAL,89334.31,NO,4,YES,NO,NO,NO,NO
ID13577,62,FEMALE,INNER_CITY,,,,YES,YES,YES,NO,NO
ID13578,18,FEMALE,INNER_CITY,,YES,0,YES,YES,NO,,YES
ID13579,25,FEMALE,INNER_CITY,80835.96,YES,5,YES,NO,NO,NO,YES
ID13580,33,MALE,TOWN,90751.27,NO,1,NO,NO,NO,YES,YES
ID13581,50,MALE,SUBURBAN,13015.66,NO,,NO,YES,YES,,NO
ID13582,40,FEMALE,TOWN,90128.86,,,NO,NO,YES,NO,NO
ID13583,58,MALE,SUBURBAN,,,,NO,NO,NO,NO,YES
ID13584,44,FEMALE,TOWN,90613.86,,2,NO,NO,NO,NO,NO
ID13585,31,FEMALE,INNER_CITY,,YES,,NO,NO,YES,NO,YES
ID13586,34,MALE,RURAL,21828.35,YES,,NO,NO,YES,NO,YES
ID13587,65,FEMALE,INNER_CITY,64255.09,YES,1,NO,NO,YES,YES,NO
ID13588,36,FEMALE,SUBURBAN,65778.21,,2,YES,YES,YES,NO,NO
ID13589,47,MALE,SUBURBAN,10724.85,YES,,NO,NO,NO,,NO
ID13590,51,MALE,TOWN,95521.91,NO,1,NO,NO,YES,YES,YES
ID13591,32,FEMALE,TOWN,54707.96,NO,3,NO,NO,NO,YES,YES
ID13592,56,FEMALE,TOWN,79831.37,,3,NO,YES,YES,NO,YES
ID13593,32,FEMALE,INNER_CITY,5242.02,,1,YES,NO,YES,,YES
ID13594,44,FEMALE,RURAL,61975.95,,,NO,NO,NO,,NO
ID13595,22,MALE,TOWN,85816.7,NO,3,NO,YES,NO,YES,NO
ID13596,38,FEMALE,RURAL,84673.91,,3,NO,NO,NO,,NO
ID13597,31,MALE,TOWN,29826.71,YES,1,YES,YES,NO,YES,NO
ID13598,48,MALE,INNER_CITY,72299.95,,4,YES,YES,NO,NO,YES
ID13599,53,MALE,SUBURBAN,,NO,3,YES,YES,YES,NO,NO
ID13600,33,FEMALE,TOWN,60474.03,,2,NO,YES,NO,,YES
ID13601,40,MALE,TOWN,13068.01,,0,YES,NO,YES,,NO
ID13602,57,FEMALE,INNER_CITY,61688.2,,1,NO,YES,NO,YES,NO
ID13603,29,FEMALE,TOWN,46900.93,,,NO,NO,NO,YES,YES
ID13604,53,FEMALE,TOWN,11158.51,,1,NO,YES,NO,YES,YES
ID13605,64,FEMALE,TOWN,45446.04,,1,YES,NO,NO,,NO
ID13606,45,MALE,SUBURBAN,97813.61,NO,,YES,YES,YES,NO,NO
ID13607,60,MALE,SUBURBAN,74061.35,,,NO,NO,YES,YES,YES
ID13608,74,MALE,RURAL,62855.08,,2,YES,YES,YES,NO,NO
ID13609,20,MALE,INNER_CITY,15271.47,YES,1,NO,YES,NO,NO,NO
ID13610,29,FEMALE,RURAL,49030.41,YES,2,NO,NO,YES,,YES
ID13611,74,MALE,INNER_CITY,92959.19,,5,NO,NO,YES,YES,YES
ID13612,49,FEMALE,SUBURBAN,85681.68,,4,YES,YES,YES,YES,YES
ID13613,63,MALE,INNER_CITY,73055.06,YES,2,NO,YES,NO,NO,YES
ID13614,40,MALE,INNER_CITY,35574.49,YES,4,YES,NO,YES,YES,NO
ID13615,30,MALE,RURAL,,,2,YES,YES,YES,NO,YES
ID13616,55,FEMALE,SUBURBAN,94666.88,,0,YES,YES,YES,YES,NO
ID13617,33,MALE,SUBURBAN,48861.84,YES,0,YES,YES,NO,NO,YES
ID13618,68,MALE,INNER_CITY,62832.94,,4,NO,YES,NO,,NO
ID13619,50,FEMALE,RURAL,,,,NO,NO,YES,,NO
ID13620,70,MALE,TOWN,30990.26,NO,0,YES,YES,YES,NO,NO
ID13621,23,FEMALE,SUBURBAN,31867.35,,,YES,NO,YES,NO,NO
