_id,age,sex,region,income,married,children,car,save_act,current_act,mortgage,pep
ID13500,48,FEMALE,INNER_CITY,6954.11,,0,YES,YES,NO,NO,NO
ID13501,59,MALE,INNER_CITY,21516.62,NO,4,NO,YES,NO,YES,YES
ID13502,32,FEMALE,SUBURBAN,28616.91,NO,,NO,NO,NO,,NO
ID13503,24,FEMALE,RURAL,42055.25,YES,2,NO,NO,YES,,YES
ID13504,73,FEMALE,TOWN,70304.29,,,YES,YES,YES,,NO
ID13505,65,MALE,TOWN,85852.79,NO,2,YES,NO,NO,YES,NO
ID13506,67,FEMALE,TOWN,92896.21,YES,5,NO,NO,NO,,YES
ID13507,74,FEMALE,SUBURBAN,6566.97,,2,YES,YES,YES,NO,NO
ID13508,59,FEMALE,TOWN,54605.78,YES,,NO,NO,YES,,NO
ID13509,61,MALE,RURAL,95160.76,,4,YES,NO,NO,NO,YES
ID13510,59,FEMALE,INNER_CITY,91595.64,,3,NO,NO,NO,NO,NO
ID13511,66,MALE,RURAL,,NO,,YES,NO,NO,YES,YES
ID13512,20,FEMALE,RURAL,39546.67,,1,NO,YES,YES,YES,NO
ID13513,65,MALE,INNER_CITY,,YES,1,NO,NO,NO,,YES
ID13514,27,MALE,INNER_CITY,13568.23,,0,NO,NO,YES,NO,NO
ID13515,35,MALE,RURAL,,YES,,YES,NO,NO,NO,NO
ID13516,67,MALE,INNER_CITY,,YES,2,YES,YES,YES,,NO
ID13517,27,MALE,SUBURBAN,43363.31,YES,,YES,YES,NO,YES,NO
ID13518,24,FEMALE,RURAL,18594.15,,,YES,NO,YES,NO,NO
ID13519,22,MALE,INNER_CITY,93852.32,YES,,YES,NO,NO,NO,NO
ID13520,21,MALE,TOWN,35983.93,NO,2,NO,NO,NO,NO,NO
ID13521,64,FEMALE,TOWN,17203.75,NO,0,NO,YES,YES,,NO
ID13522,73,MALE,INNER_CITY,15376.44,YES,3,YES,NO,NO,NO,NO
ID13523,31,FEMALE,SUBURBAN,,YES,,NO,NO,YES,NO,NO
ID13524,63,MALE,SUBURBAN,69366.71,,5,YES,YES,YES,,YES
ID13525,49,MALE,TOWN,33590.73,,5,NO,YES,YES,YES,YES
ID13526,67,FEMALE,SUBURBAN,66032.04,YES,4,NO,NO,YES,,NO
ID13527,20,FEMALE,TOWN,,NO,4,NO,YES,YES,NO,NO
ID13528,56,FEMALE,SUBURBAN,32959.57,YES,1,NO,YES,YES,,YES
ID13529,34,MALE,SUBURBAN,66991.74,YES,1,YES,NO,YES,NO,NO
ID13530,58,FEMALE,RURAL,,YES,0,NO,YES,NO,NO,YES
ID13531,48,FEMALE,RURAL,69930.82,YES,1,NO,NO,YES,YES,YES
ID13532,32,MALE,INNER_CITY,31401.04,,2,NO,YES,YES,,YES
ID13533,53,MALE,INNER_CITY,,,4,NO,YES,NO,YES,NO
ID13534,68,FEMALE,TOWN,13321.88,,1,NO,NO,NO,,YES
ID13535,68,MALE,SUBURBAN,77261.02,YES,,YES,YES,NO,NO,NO
ID13536,72,FEMALE,RURAL,14707.37,YES,4,NO,YES,NO,NO,YES
ID13537,18,MALE,TOWN,82864.01,YES,5,NO,NO,YES,NO,YES
ID13538,42,MALE,TOWN,16338.45,,,NO,NO,NO,NO,YES
ID13539,74,MALE,RURAL,82185.36,,,NO,YES,YES,YES,YES
ID13540,22,MALE,INNER_CITY,62999.64,,4,NO,YES,NO,YES,YES
ID13541,22,FEMALE,INNER_CITY,56255.09,,3,NO,YES,NO,,NO
ID13542,49,MALE,TOWN,9867.49,,1,NO,NO,NO,NO,NO
ID13543,72,MALE,SUBURBAN,64640.42,YES,,YES,NO,YES,,NO
ID13544,38,FEMALE,RURAL,97883.35,YES,,YES,YES,YES,NO,YES
ID13545,19,MALE,RURAL,13246.18,,,YES,NO,NO,YES,YES
ID13546,34,FEMALE,TOWN,67679.9,,4,NO,NO,NO,,YES
ID13547,71,MALE,INNER_CITY,,,2,YES,YES,YES,YES,YES
ID13548,31,FEMALE,SUBURBAN,93669.06,YES,2,NO,NO,YES,,NO
ID13549,62,FEMALE,INNER_CITY,57347.29,NO,1,NO,YES,NO,NO,YES
ID13550,75,FEMALE,TOWN,,YES,4,YES,NO,YES,,NO
ID13551,53,MALE,TOWN,7630.95,NO,4,NO,YES,NO,NO,YES
ID13552,58,FEMALE,SUBURBAN,19932.96,YES,,YES,YES,YES,NO,YES
ID13553,75,FEMALE,SUBURBAN,40772.03,YES,3,NO,YES,NO,YES,YES
ID13554,33,FEMALE,TOWN,98124.7,NO,1,NO,YES,NO,,NO
ID13555,73,MALE,SUBURBAN,52617.49,YES,3,YES,YES,YES,,NO
ID13556,39,MALE,RURAL,98270.4,YES,0,YES,YES,YES,,NO
ID13557,20,MALE,RURAL,98051.83,YES,,NO,YES,NO,YES,YES
ID13558,61,FEMALE,SUBURBAN,29119.61,YES,1,NO,YES,NO,,NO
ID13559,52,FEMALE,SUBURBAN,,,0,NO,NO,YES,NO,NO
ID13560,65,MALE,RURAL,68779.87,,,NO,NO,NO,,NO
ID13561,48,FEMALE,SUBURBAN,44240.52,NO,2,NO,NO,YES,NO,NO
ID13562,47,FEMALE,RURAL,15947.73,YES,1,YES,NO,NO,,YES
ID13563,25,MALE,INNER_CITY,6450.69,NO,3,NO,YES,NO,,YES
