_id,age,sex,region,income,married,children,car,save_act,current_act,mortgage,pep
ID12221,46.0,MALE,RURAL,29525.5,NO,2.0,NO,YES,NO,YES,NO
ID12222,62.0,FEMALE,RURAL,54863.8,,,YES,YES,YES,,YES
ID12223,36.0,FEMALE,TOWN,,YES,,NO,YES,NO,YES,YES
ID12224,35.0,,RURAL,33028.3,NO,1.0,,YES,YES,NO,YES
ID12225,47.0,MALE,RURAL,45031.9,NO,3.0,YES,,NO,NO,YES
ID12226,47.0,MALE,INNER_CITY,39010.8,YES,2.0,NO,,YES,,YES
ID12227,37.0,FEMALE,TOWN,25257.7,YES,0.0,YES,,YES,NO,NO
ID12228,48.0,FEMALE,INNER_CITY,42603.9,,0.0,NO,YES,YES,NO,NO
ID12229,41.0,MALE,,14092.7,,3.0,YES,,YES,NO,NO
ID12230,27.0,FEMALE,RURAL,,NO,0.0,YES,YES,YES,NO,YES
ID12231,43.0,MALE,INNER_CITY,23246.4,,2.0,NO,NO,YES,NO,NO
ID12232,61.0,MALE,RURAL,41609.5,YES,3.0,,YES,YES,YES,NO
ID12233,52.0,FEMALE,SUBURBAN,16716.1,NO,,,YES,YES,NO,NO
ID12234,64.0,,SUBURBAN,36436.4,YES,0.0,YES,NO,YES,NO,NO
ID12235,66.0,,TOWN,59503.8,YES,2.0,YES,YES,YES,YES,YES
ID12236,53.0,FEMALE,,31334.8,YES,1.0,YES,YES,,NO,YES
ID12237,20.0,FEMALE,INNER_CITY,,,2.0,YES,NO,YES,YES,NO
ID12238,,FEMALE,INNER_CITY,39205.3,NO,0.0,NO,YES,,NO,YES
ID12239,65.0,FEMALE,RURAL,,,,,YES,YES,NO,NO
ID12240,,FEMALE,INNER_CITY,55263.0,NO,1.0,NO,YES,YES,,YES
ID12241,52.0,MALE,INNER_CITY,37095.2,YES,3.0,NO,YES,YES,NO,NO
ID12242,47.0,FEMALE,INNER_CITY,22791.4,YES,0.0,NO,,YES,,NO
ID12243,28.0,FEMALE,TOWN,17240.6,YES,1.0,YES,NO,NO,YES,NO
ID12244,64.0,MALE,TOWN,,YES,,YES,YES,,YES,NO
ID12245,25.0,MALE,INNER_CITY,,,1.0,NO,YES,YES,NO,YES
ID12246,58.0,MALE,SUBURBAN,,YES,0.0,NO,YES,,YES,YES
ID12247,34.0,MALE,TOWN,20236.2,YES,2.0,,NO,YES,NO,NO
ID12248,,FEMALE,,18860.3,NO,,NO,,,NO,NO
ID12249,,MALE,RURAL,25732.5,YES,0.0,YES,YES,,NO,NO
ID12250,,FEMALE,,28240.4,YES,,YES,YES,YES,NO,NO
ID12251,53.0,MALE,RURAL,28193.6,YES,,YES,YES,,NO,YES
ID12252,43.0,,TOWN,36432.8,,2.0,,NO,,,YES
ID12253,63.0,,,,,2.0,NO,YES,NO,YES,YES
ID12254,33.0,,,24760.8,,1.0,,YES,,YES,YES
