_id,age,sex,region,income,married,children,car,save_act,current_act,mortgage,pep
ID12101,48.0,,INNER_CITY,17546.0,,1.0,,NO,NO,NO,YES
ID12102,40.0,MALE,TOWN,30085.1,YES,3.0,,NO,YES,YES,NO
ID12103,51.0,FEMALE,INNER_CITY,,,0.0,YES,YES,YES,,NO
ID12104,23.0,,TOWN,20375.4,YES,3.0,NO,NO,YES,NO,NO
ID12105,57.0,FEMALE,RURAL,,,0.0,NO,YES,NO,NO,NO
ID12106,,FEMALE,TOWN,37869.6,YES,2.0,NO,,,NO,YES
ID12107,22.0,MALE,RURAL,8877.07,NO,,NO,NO,YES,NO,YES
ID12108,58.0,MALE,TOWN,,YES,0.0,YES,YES,YES,,NO
ID12109,37.0,FEMALE,SUBURBAN,25304.3,YES,2.0,YES,NO,NO,,NO
ID12110,54.0,,TOWN,24212.1,YES,,YES,,YES,NO,NO
ID12111,66.0,FEMALE,TOWN,59803.9,,0.0,NO,YES,YES,NO,NO
ID12112,,FEMALE,INNER_CITY,,,0.0,YES,YES,YES,YES,NO
ID12113,44.0,FEMALE,,15735.8,,1.0,NO,,,YES,YES
ID12114,66.0,FEMALE,,,,1.0,YES,YES,YES,YES,YES
ID12115,,MALE,RURAL,,YES,0.0,NO,YES,YES,YES,NO
ID12116,38.0,FEMALE,INNER_CITY,,YES,0.0,YES,,YES,YES,NO
ID12117,,FEMALE,TOWN,17729.8,YES,2.0,NO,NO,,YES,NO
ID12118,46.0,FEMALE,SUBURBAN,41016.0,,0.0,NO,YES,NO,YES,NO
ID12119,62.0,FEMALE,INNER_CITY,26909.2,,0.0,NO,YES,,NO,YES
ID12120,31.0,MALE,TOWN,22522.8,YES,0.0,YES,YES,YES,NO,NO
ID12121,,MALE,INNER_CITY,,YES,,NO,,,,YES
ID12122,,MALE,TOWN,16497.3,YES,,,YES,YES,NO,NO
ID12123,54.0,MALE,INNER_CITY,38446.6,YES,0.0,NO,,YES,NO,NO
ID12124,27.0,FEMALE,TOWN,,NO,,YES,YES,YES,,NO
ID12125,,,,12640.3,NO,2.0,YES,,YES,NO,NO
ID12126,56.0,MALE,INNER_CITY,,YES,0.0,YES,YES,YES,YES,NO
ID12127,45.0,MALE,,20809.7,YES,0.0,NO,,YES,YES,NO
ID12128,39.0,FEMALE,TOWN,20114.0,YES,1.0,NO,NO,YES,,YES
ID12129,39.0,FEMALE,INNER_CITY,29359.1,,,YES,,YES,,NO
ID12130,61.0,MALE,RURAL,24270.1,YES,1.0,NO,NO,,,YES
ID12131,61.0,,,22942.9,,2.0,,YES,YES,NO,NO
ID12132,,FEMALE,TOWN,16325.8,YES,2.0,NO,,NO,NO,NO
ID12133,45.0,MALE,,23443.2,YES,1.0,YES,YES,YES,NO,YES
ID12134,33.0,FEMALE,INNER_CITY,29921.3,NO,3.0,YES,YES,NO,NO,NO
ID12135,43.0,MALE,SUBURBAN,37521.9,NO,0.0,NO,YES,YES,NO,YES
ID12136,27.0,FEMALE,INNER_CITY,19868.0,YES,2.0,NO,YES,YES,,NO
ID12137,19.0,MALE,RURAL,10953.0,YES,3.0,YES,YES,YES,,NO
ID12138,36.0,,RURAL,13381.0,NO,0.0,YES,,,NO,YES
ID12139,43.0,FEMALE,TOWN,18504.3,YES,0.0,YES,YES,YES,NO,NO
ID12140,66.0,FEMALE,SUBURBAN,,NO,2.0,,,YES,NO,NO
ID12141,55.0,MALE,TOWN,26774.2,YES,0.0,NO,NO,YES,YES,YES
ID12142,47.0,FEMALE,INNER_CITY,26952.6,YES,,YES,,,NO,NO
ID12143,67.0,MALE,TOWN,,,2.0,,YES,NO,NO,YES
ID12144,32.0,FEMALE,TOWN,,YES,0.0,YES,,,,NO
ID12145,,MALE,INNER_CITY,,,,YES,YES,YES,YES,NO
ID12146,64.0,MALE,,52670.6,YES,2.0,NO,,YES,YES,YES
ID12147,50.0,,INNER_CITY,13283.9,NO,1.0,YES,YES,YES,NO,YES
ID12148,29.0,,INNER_CITY,,NO,2.0,,YES,YES,YES,YES
ID12149,,,INNER_CITY,39547.8,NO,2.0,,,,,YES
ID12150,,FEMALE,RURAL,17867.3,YES,2.0,,YES,NO,NO,NO
ID12151,24.0,,TOWN,,NO,2.0,YES,YES,NO,NO,NO
ID12152,36.0,MALE,TOWN,23894.8,YES,0.0,NO,NO,NO,NO,NO
ID12153,43.0,MALE,TOWN,16259.7,YES,,,YES,YES,NO,YES
ID12154,48.0,MALE,SUBURBAN,29794.1,NO,,NO,,YES,NO,YES
ID12155,,MALE,,56842.5,YES,0.0,NO,YES,YES,YES,NO
ID12156,,FEMALE,RURAL,47835.8,NO,3.0,NO,YES,,,YES
